station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
CLARENCE RIVER AT LILYDALE BRIDGE,Clarence,North Coast,2016-11-28 13:48:00,2016,11,spring,130.0,0.38,0.01,0.01,0.01,10.0,1.4,142.0,9.1,0,0.0,0,0,0,0,0,0.0
OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2016-11-29 06:34:00,2016,11,spring,210.0,0.28,0.02,0.044,0.017,10.0,3.5,80.3,7.4,0,0.0,0,0,0,0,0,0.0
RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2016-11-29 08:02:00,2016,11,spring,250.0,0.19,0.02,0.096,0.086,10.0,2.3,86.7,7.7,0,0.0,0,0,0,0,0,0.0
RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2016-11-29 08:57:00,2016,11,spring,330.0,0.28,0.01,0.14,0.12,10.0,6.8,119.0,8.2,1,0.0,0,0,0,1,0,0.0
CLARENCE RIVER AT PADDYS FLAT,Clarence,North Coast,2016-11-29 10:27:00,2016,11,spring,220.0,0.49,0.01,0.02,0.01,10.0,2.7,109.0,8.2,0,0.0,0,0,0,0,0,0.0
WALLAMBA RIVER AT DARGAVILLE ROAD CROSSING,Karuah,Lower North Coast,2016-12-12 09:38:00,2016,12,summer,900.0,0.51,0.02,0.091,0.013,10.0,2.6,69.3,7.5,1,0.0,0,0,0,0,1,0.0
MACLEAY RIVER AT TURNERS FLAT,Macleay,North Coast,2016-12-12 12:34:00,2016,12,summer,190.0,0.36,0.03,0.02,0.005,10.0,1.7,160.0,9.5,0,0.0,0,0,0,0,0,0.0
HASTINGS RIVER AT KOOREE ISLAND ROAD,Hastings,Lower North Coast,2016-12-12 14:15:00,2016,12,summer,160.0,0.19,0.02,0.01,0.005,10.0,2.2,114.0,7.9,0,0.0,0,0,0,0,0,0.0
CLYDE RIVER AT BROOMAN,Clyde,South Coast,2016-12-12 14:53:00,2016,12,summer,120.0,0.24,0.01,0.01,0.005,10.0,1.5,78.7,6.9,0,0.0,0,0,0,0,0,0.0
MANNING RIVER AT KILLAWARRA,Manning,Lower North Coast,2016-12-12 16:07:00,2016,12,summer,140.0,0.37,0.01,0.032,0.005,10.0,1.9,176.0,9.7,0,0.0,0,0,0,0,0,0.0
